capability,radius,region_a,region_b,mean_delta_diff,mean_delta_diff_bh_q,density_ge_0.02_diff,density_ge_0.02_diff_bh_q,positive_thicket_mass_diff,positive_thicket_mass_diff_bh_q
spatial_reasoning,0.0035698828543799426,multimodal_connector_or_merger,language,-0.004062499999999995,0.20232,-0.125,0.38689411764705883,-0.0025000000000000022,0.4016571428571429
spatial_reasoning,0.017849414271899712,vision,multimodal_connector_or_merger,-0.0021874999999999967,0.5477538461538461,-0.046875,1.0,-0.0012500000000000011,0.8487257142857143
spatial_reasoning,0.017849414271899712,vision,language,-0.023125000000000007,0.0,-0.515625,0.0,-0.02281250000000002,0.0
spatial_reasoning,0.017849414271899712,multimodal_connector_or_merger,language,-0.02093750000000001,0.0,-0.46875,0.0,-0.02156250000000002,0.0
spatial_reasoning,0.07139765708759885,vision,multimodal_connector_or_merger,-0.006249999999999993,0.15535384615384615,-0.0625,1.0,-0.0009375000000000008,1.0
spatial_reasoning,0.07139765708759885,vision,language,0.00031249999999998467,1.0,-0.296875,0.007200000000000001,-0.020312500000000018,0.000675
spatial_reasoning,0.07139765708759885,multimodal_connector_or_merger,language,0.006562499999999978,0.6521142857142858,-0.234375,0.05616,-0.019375000000000017,0.0
visual_grounding,0.0035698828543799426,vision,multimodal_connector_or_merger,0.0,1.0,0.0,1.0,0.0,1.0
visual_grounding,0.0035698828543799426,vision,language,0.0,1.0,0.0,1.0,0.0,1.0
visual_grounding,0.0035698828543799426,multimodal_connector_or_merger,language,0.0,1.0,0.0,1.0,0.0,1.0
visual_grounding,0.017849414271899712,vision,multimodal_connector_or_merger,-0.0003125000000000003,1.0,0.0,1.0,0.0,1.0
visual_grounding,0.017849414271899712,vision,language,-0.0006250000000000006,0.6521142857142858,-0.015625,1.0,-0.0003125000000000003,1.0
visual_grounding,0.017849414271899712,multimodal_connector_or_merger,language,-0.0003125000000000003,1.0,-0.015625,1.0,-0.0003125000000000003,1.0
visual_grounding,0.07139765708759885,vision,multimodal_connector_or_merger,0.004062500000000004,0.053228571428571424,0.328125,0.0,0.006562500000000006,0.0
visual_grounding,0.07139765708759885,vision,language,0.007812500000000007,0.01651764705882353,0.125,0.48569999999999997,0.0025000000000000022,0.40254545454545454
visual_grounding,0.07139765708759885,multimodal_connector_or_merger,language,0.0037500000000000033,0.20232,-0.203125,0.00108,-0.004062500000000004,0.0
