capability,region,radius,radius_label,scale,density_ge_0.02
ocr_text_recognition_grounded,language,0.017849414271899712,mid,3B,0.0
relational_reasoning,language,0.017849414271899712,mid,3B,0.40625
fine_grained_recognition,language,0.017849414271899712,mid,3B,0.0
visual_grounding,language,0.07139765708759885,transition,3B,0.203125
counting,language,0.07139765708759885,transition,3B,0.09375
spatial_reasoning,language,0.07139765708759885,transition,3B,0.5
ocr_text_recognition_grounded,language,0.07139765708759885,transition,3B,0.015625
relational_reasoning,language,0.07139765708759885,transition,3B,0.28125
fine_grained_recognition,language,0.07139765708759885,transition,3B,0.0625
visual_grounding,vision,0.0035698828543799426,small,7B,0.375
counting,vision,0.0035698828543799426,small,7B,0.0
spatial_reasoning,vision,0.0035698828543799426,small,7B,0.0625
ocr_text_recognition_grounded,vision,0.0035698828543799426,small,7B,0.0
relational_reasoning,vision,0.0035698828543799426,small,7B,0.046875
fine_grained_recognition,vision,0.0035698828543799426,small,7B,0.0
visual_grounding,vision,0.017849414271899712,mid,7B,0.4375
counting,vision,0.017849414271899712,mid,7B,0.0
spatial_reasoning,vision,0.017849414271899712,mid,7B,0.375
ocr_text_recognition_grounded,vision,0.017849414271899712,mid,7B,0.0
relational_reasoning,vision,0.017849414271899712,mid,7B,0.09375
fine_grained_recognition,vision,0.017849414271899712,mid,7B,0.0
visual_grounding,vision,0.07139765708759885,transition,7B,0.78125
counting,vision,0.07139765708759885,transition,7B,0.015625
spatial_reasoning,vision,0.07139765708759885,transition,7B,0.6875
ocr_text_recognition_grounded,vision,0.07139765708759885,transition,7B,0.015625
relational_reasoning,vision,0.07139765708759885,transition,7B,0.3125
fine_grained_recognition,vision,0.07139765708759885,transition,7B,0.140625
visual_grounding,multimodal_connector_or_merger,0.0035698828543799426,small,7B,0.234375
counting,multimodal_connector_or_merger,0.0035698828543799426,small,7B,0.0
spatial_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,7B,0.0
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0035698828543799426,small,7B,0.0
relational_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,7B,0.0
fine_grained_recognition,multimodal_connector_or_merger,0.0035698828543799426,small,7B,0.0
visual_grounding,multimodal_connector_or_merger,0.017849414271899712,mid,7B,0.21875
counting,multimodal_connector_or_merger,0.017849414271899712,mid,7B,0.0
spatial_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,7B,0.0
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.017849414271899712,mid,7B,0.0
relational_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,7B,0.03125
fine_grained_recognition,multimodal_connector_or_merger,0.017849414271899712,mid,7B,0.0
visual_grounding,multimodal_connector_or_merger,0.07139765708759885,transition,7B,0.421875
counting,multimodal_connector_or_merger,0.07139765708759885,transition,7B,0.0
spatial_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,7B,0.0
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.07139765708759885,transition,7B,0.0
relational_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,7B,0.015625
fine_grained_recognition,multimodal_connector_or_merger,0.07139765708759885,transition,7B,0.0
visual_grounding,language,0.0035698828543799426,small,7B,0.390625
counting,language,0.0035698828543799426,small,7B,0.0
spatial_reasoning,language,0.0035698828543799426,small,7B,0.0
ocr_text_recognition_grounded,language,0.0035698828543799426,small,7B,0.0
relational_reasoning,language,0.0035698828543799426,small,7B,0.0
fine_grained_recognition,language,0.0035698828543799426,small,7B,0.0
visual_grounding,language,0.017849414271899712,mid,7B,0.71875
counting,language,0.017849414271899712,mid,7B,0.0
spatial_reasoning,language,0.017849414271899712,mid,7B,0.265625
ocr_text_recognition_grounded,language,0.017849414271899712,mid,7B,0.03125
relational_reasoning,language,0.017849414271899712,mid,7B,0.328125
fine_grained_recognition,language,0.017849414271899712,mid,7B,0.0
visual_grounding,language,0.07139765708759885,transition,7B,0.75
counting,language,0.07139765708759885,transition,7B,0.0
spatial_reasoning,language,0.07139765708759885,transition,7B,0.3125
ocr_text_recognition_grounded,language,0.07139765708759885,transition,7B,0.09375
relational_reasoning,language,0.07139765708759885,transition,7B,0.390625
fine_grained_recognition,language,0.07139765708759885,transition,7B,0.21875
